Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Significance,Number of google review in lakhs,S.No.,2017 - Domestic,2017 - Foreign,2018 (R) - Domestic,2018 (R) - Foreign,Growth Rate - Domestic,Growth Rate - Foreign,Best Season to Visit
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3,4.9,7500,Cultural,0.1,12,48343121,448853,54369873,513113,12.47,14.32,Autumn
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,0,Spiritual,1.9,28,40293352,1108635,44595061,1200969,10.68,8.33,Monsoon
Northern,Ladakh,Leh,Pangong Tso,Lake,2,4.9,20,Nature,0.15,12.5363468146973,123456,78910,456789,98765,7.67,5.67,Monsoon
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2,4.8,0,Religious,1.05,21,119191539,5078514,119191539,5078514,0,0,Autumn
Western,Gujarat,Somnath,Somnath Temple,Temple,2,4.8,0,Religious,0.39,12,48343121,448853,54369873,513113,12.47,14.32,Autumn
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1,4.8,0,Historical,0.3,28,40293352,1108635,44595061,1200969,10.68,8.33,Winter
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,2,4.8,0,Cultural,0.17,28,40293352,1108635,44595061,1200969,10.68,8.33,Autumn
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1,4.8,0,Religious,0.9,21,119191539,5078514,119191539,5078514,0,0,Autumn
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,0,Religious,1.2,20,78038522,359119,83969799,375476,7.6,4.55,Spring
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,10,Historical,0.1,20,78038522,359119,83969799,375476,7.6,4.55,Autumn
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1,4.8,0,Religious,0.025,14,19130541,470992,16093935,356568,-15.87,-24.29,Autumn
